id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;created_by;last_modified_by
1;system;$2a$10$mE.qmcV0mFU5NcKh73TZx.z4ueI/.bDWbj0T1BYyqP481kGGarKLG;System;System;system@localhost;;true;zh-cn;system;system
2;anonymoususer;$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO;Anonymous;User;anonymous@localhost;;true;zh-cn;system;system
3;admin;$2a$10$gSAhZrxMllrbgj/kkK9UceBPpChGWJA7SYIb1Mqo.n5aNLq1/oRrC;Administrator;Administrator;admin@localhost;;true;zh-cn;system;system
4;user;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user@localhost;;true;zh-cn;system;system
5;zhonghui;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;钟;慧;zhonghui@localhost;;true;zh-cn;system;system
6;zhangliping;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;张;丽萍;zhangliping@localhost;;true;zh-cn;system;system
7;wangtiezhu;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;王;铁柱;wangtiezhu@localhost;;true;zh-cn;system;system
8;wangdong;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;王;东;wangdong@localhost;;true;zh-cn;system;system
9;wangsiming;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;王;思铭;wangsiming@localhost;;true;zh-cn;system;system
10;wangying;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;王;莹;wangying@localhost;;true;zh-cn;system;system
11;wangrenjie;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;王;仁杰;wangrenjie@localhost;;true;zh-cn;system;system
12;dongchen;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;董;晨;dongchen@localhost;;true;zh-cn;system;system
13;licong;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;李;聪;licong@localhost;;true;zh-cn;system;system
14;liruixin;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;李;蕊鑫;liruixin@localhost;;true;zh-cn;system;system
15;liuqixuan;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;刘;启轩;liuqixuan@localhost;;true;zh-cn;system;system
16;quxinmei;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;屈;鑫镁;quxinmei@localhost;;true;zh-cn;system;system
17;yangboyan;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;杨;博彦;yangboyan@localhost;;true;zh-cn;system;system
18;zhouxinyue;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;周;欣月;zhouxinyue@localhost;;true;zh-cn;system;system
19;hewei;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;何;炜;hewei@localhost;;true;zh-cn;system;system
20;zhuzhihong;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;朱;志鸿;zhuzhihong@localhost;;true;zh-cn;system;system
